year,month,min_gwl,mean_gwl,max_gwl,ms_nr,ms_nr_global
2009,2,0.42,0.42,0.42,W_GWM10154,hh-W_GWM10154
2009,3,0.62,0.62,0.62,W_GWM10154,hh-W_GWM10154
2009,4,0.51,0.51,0.51,W_GWM10154,hh-W_GWM10154
2009,5,0.23,0.23,0.23,W_GWM10154,hh-W_GWM10154
2009,6,0.23,0.23,0.23,W_GWM10154,hh-W_GWM10154
2009,7,0.33,0.33,0.33,W_GWM10154,hh-W_GWM10154
2009,8,0.32,0.32,0.32,W_GWM10154,hh-W_GWM10154
2009,9,0.12,0.12,0.12,W_GWM10154,hh-W_GWM10154
2009,10,0.15,0.15,0.15,W_GWM10154,hh-W_GWM10154
2009,11,0.48,0.48,0.48,W_GWM10154,hh-W_GWM10154
2009,12,0.91,0.91,0.91,W_GWM10154,hh-W_GWM10154
2010,1,0.49,0.49,0.49,W_GWM10154,hh-W_GWM10154
2010,2,0.32,0.32,0.32,W_GWM10154,hh-W_GWM10154
2010,3,1.05,1.05,1.05,W_GWM10154,hh-W_GWM10154
2010,4,0.83,0.83,0.83,W_GWM10154,hh-W_GWM10154
2010,5,0.52,0.52,0.52,W_GWM10154,hh-W_GWM10154
2010,6,,,,W_GWM10154,hh-W_GWM10154
2010,7,,,,W_GWM10154,hh-W_GWM10154
2010,8,,,,W_GWM10154,hh-W_GWM10154
2010,9,0.82,0.82,0.82,W_GWM10154,hh-W_GWM10154
2010,10,0.68,0.68,0.68,W_GWM10154,hh-W_GWM10154
2010,11,0.87,0.87,0.87,W_GWM10154,hh-W_GWM10154
2010,12,0.68,0.68,0.68,W_GWM10154,hh-W_GWM10154
2011,1,0.96,0.96,0.96,W_GWM10154,hh-W_GWM10154
2011,2,1.09,1.09,1.09,W_GWM10154,hh-W_GWM10154
2011,3,0.8,0.8,0.8,W_GWM10154,hh-W_GWM10154
2011,4,0.65,0.65,0.65,W_GWM10154,hh-W_GWM10154
2011,5,0.52,0.52,0.52,W_GWM10154,hh-W_GWM10154
2011,6,0.48,0.48,0.48,W_GWM10154,hh-W_GWM10154
2011,7,0.6,0.6,0.6,W_GWM10154,hh-W_GWM10154
2011,8,0.66,0.66,0.66,W_GWM10154,hh-W_GWM10154
2011,9,0.62,0.62,0.62,W_GWM10154,hh-W_GWM10154
2011,10,0.6,0.6,0.6,W_GWM10154,hh-W_GWM10154
2011,11,0.46,0.46,0.46,W_GWM10154,hh-W_GWM10154
2011,12,1.03,1.03,1.03,W_GWM10154,hh-W_GWM10154
2012,1,1.25,1.25,1.25,W_GWM10154,hh-W_GWM10154
2012,2,0.83,0.83,0.83,W_GWM10154,hh-W_GWM10154
2012,3,0.76,0.76,0.76,W_GWM10154,hh-W_GWM10154
2012,4,0.59,0.59,0.59,W_GWM10154,hh-W_GWM10154
2012,5,0.51,0.51,0.51,W_GWM10154,hh-W_GWM10154
2012,6,0.32,0.32,0.32,W_GWM10154,hh-W_GWM10154
2012,7,0.52,0.52,0.52,W_GWM10154,hh-W_GWM10154
2012,8,0.39,0.39,0.39,W_GWM10154,hh-W_GWM10154
2012,9,0.22,0.22,0.22,W_GWM10154,hh-W_GWM10154
2012,10,0.4,0.4,0.4,W_GWM10154,hh-W_GWM10154
2012,11,0.4,0.4,0.4,W_GWM10154,hh-W_GWM10154
2012,12,0.52,0.52,0.52,W_GWM10154,hh-W_GWM10154
2013,1,0.87,0.87,0.87,W_GWM10154,hh-W_GWM10154
2013,2,0.83,0.83,0.83,W_GWM10154,hh-W_GWM10154
2013,3,0.46,0.46,0.46,W_GWM10154,hh-W_GWM10154
2013,4,0.38,0.38,0.38,W_GWM10154,hh-W_GWM10154
2013,5,0.68,0.68,0.68,W_GWM10154,hh-W_GWM10154
